feature,coefficient,coefficient_pct_points
Household_Income,-0.021077503339878356,-2.1077503339878354
Age,-0.038047196013933554,-3.8047196013933555
Sex_at_Birth,-0.06608426275481519,-6.608426275481519
Education_Level,-0.025068824310919148,-2.5068824310919147
