Province,mean,count
10,0.275092936802974,269
11,0.3020833333333333,96
12,0.23204419889502761,362
13,0.22018348623853212,327
24,0.2824601366742597,878
35,0.22727272727272727,946
46,0.22794117647058823,408
47,0.24512534818941503,359
48,0.2459016393442623,671
59,0.28091603053435116,655
60,0.3844221105527638,398
