Age,Sex,mean,count
2,Female,0.25740318906605925,878
2,Male,0.35353535353535354,792
3,Female,0.21322690992018245,877
3,Male,0.30943396226415093,795
4,Female,0.21784037558685446,1065
4,Male,0.24324324324324326,962
